No,house_price_of_unit_area,transaction_year,transaction_month,house_age,distance_to_the_nearest_MRT_station,number_of_convenience_stores,latitude,longitude
55,19.2,2012,Aug,13.9,4573.779,0,24.94867,121.49507
56,15.5,2012,Jul,26.9,4449.27,0,24.94898,121.49621
57,21.8,2012,Aug,14.1,2615.465,0,24.95495,121.56174
58,21.5,2012,Aug,31.4,1447.286,3,24.97285,121.5173
59,44.3,2012,Sep,34.8,190.0392,8,24.97707,121.54312
60,20.5,2012,Sep,16.3,4066.587,0,24.94297,121.50342
61,31.5,2012,Sep,38.3,642.6985,3,24.97559,121.53713
62,46.1,2012,Jul,15.6,289.3248,5,24.98203,121.54348
63,26.2,2012,Aug,11.5,1360.139,1,24.95204,121.54842
64,40.9,2012,Aug,34.8,175.6294,8,24.97347,121.54271
65,40.8,2012,Sep,28,372.6242,6,24.97838,121.54119
66,40.2,2012,Aug,29.3,529.7771,8,24.98102,121.53655
67,40.2,2012,Sep,32.4,265.0609,8,24.98059,121.53986
68,14.7,2012,Aug,16.2,4074.736,0,24.94235,121.50357
69,17.4,2012,Sep,27.1,4412.765,1,24.95032,121.49587
70,39.3,2012,Aug,12.9,250.631,7,24.96606,121.54297
71,33.4,2012,Aug,2,2077.39,3,24.96357,121.51329
72,15,2012,Aug,18,6306.153,1,24.95743,121.47516
73,13.8,2012,Sep,31.7,1159.454,0,24.9496,121.53018
74,52.7,2012,Aug,5.9,90.45606,9,24.97433,121.5431
75,25.9,2012,Jul,30.4,1735.595,2,24.96464,121.51623
76,51.8,2012,Jul,1.1,329.9747,5,24.98254,121.54395
77,26.5,2012,Jul,14.6,339.2289,1,24.97519,121.53151
78,53,2012,Sep,15.9,289.3248,5,24.98203,121.54348
79,38.1,2012,Aug,15.7,815.9314,4,24.97886,121.53464
80,41.1,2012,Aug,34.7,482.7581,5,24.97433,121.53863
81,26.5,2012,Sep,17.7,451.6419,8,24.96945,121.5449
82,40.5,2012,Aug,13,492.2313,5,24.96515,121.53737
83,49.7,2012,Jul,1.5,23.38284,7,24.96772,121.54102
84,44,2012,Aug,0,208.3905,6,24.95618,121.53844
85,25.6,2012,Sep,2,1455.798,1,24.9512,121.549
86,34.4,2012,Sep,15,383.2805,7,24.96735,121.54464
87,56.3,2012,Sep,5.9,90.45606,9,24.97433,121.5431
88,54.4,2012,Aug,3.4,56.47425,7,24.95744,121.53711
89,42.5,2012,Jul,12.6,383.2805,7,24.96735,121.54464
90,34.1,2012,Aug,12.5,1144.436,4,24.99176,121.53456
91,28.5,2012,Aug,34.9,567.0349,4,24.97003,121.5458
92,35.7,2012,Aug,38,461.7848,0,24.97229,121.53445
93,24.7,2012,Aug,10.3,3079.89,0,24.9546,121.56627
94,37.5,2012,Aug,15.6,752.7669,2,24.97795,121.53451
95,18.6,2012,Aug,13.5,4197.349,0,24.93885,121.50383
96,37.7,2012,Sep,16.9,964.7496,4,24.98872,121.53411
97,31.3,2012,Jul,12.4,1712.632,2,24.96412,121.5167
98,23.6,2012,Aug,15.9,1497.713,3,24.97003,121.51696
99,38.4,2012,Aug,7.8,104.8101,5,24.96674,121.54067
100,22.8,2012,Sep,30,1013.341,5,24.99006,121.5346
101,35.6,2012,Aug,5.1,1867.233,2,24.98407,121.51748
102,30.9,2012,Aug,31.3,600.8604,5,24.96871,121.54651
103,36.3,2012,Sep,31.5,258.186,9,24.96867,121.54331
104,53.5,2012,Jul,5.7,90.45606,9,24.97433,121.5431
105,37.9,2012,Jul,0,185.4296,0,24.9711,121.5317
106,53.7,2012,Aug,4.6,259.6607,6,24.97585,121.54516
107,47,2012,Aug,7.8,104.8101,5,24.96674,121.54067
108,28.6,2012,Aug,4,2180.245,3,24.96324,121.51241
109,25.7,2012,Aug,18.4,2674.961,3,24.96143,121.50827
110,45.3,2012,Aug,10.3,211.4473,1,24.97417,121.52999
111,47.1,2012,Jul,32.9,87.30222,10,24.983,121.54022
112,29.5,2012,Sep,17.3,2261.432,4,24.96182,121.51222
113,24.8,2012,Aug,14.2,1801.544,1,24.95153,121.55254
114,20.9,2012,Aug,15,1828.319,2,24.96464,121.51531
115,22.8,2012,Jul,20.2,2185.128,3,24.96322,121.51237
116,42.1,2012,Aug,15.9,289.3248,5,24.98203,121.54348
117,40.3,2012,Jul,29.1,506.1144,4,24.97845,121.53889
118,12.9,2012,Aug,16.1,4066.587,0,24.94297,121.50342
119,55.3,2012,Aug,0,185.4296,0,24.9711,121.5317
120,42.5,2012,Sep,21.2,512.5487,4,24.974,121.53842
121,31.9,2012,Jul,37.1,918.6357,1,24.97198,121.55063
122,37.3,2012,Sep,12.7,170.1289,1,24.97371,121.52984
123,28.5,2012,Aug,12.7,187.4823,1,24.97388,121.52981
124,39.7,2012,Jul,30.9,161.942,9,24.98353,121.53966
125,37.2,2012,Jul,23,130.9945,6,24.95663,121.53765
126,50,2012,Jul,5.6,90.45606,9,24.97433,121.5431
127,47.3,2013,Jun,13.3,561.9845,5,24.98746,121.54391
128,54.8,2013,May,13.3,561.9845,5,24.98746,121.54391
129,46.7,2013,Apr,20.3,287.6025,6,24.98042,121.54228
130,18.8,2013,May,31.7,5512.038,1,24.95095,121.48458
131,22.1,2013,Apr,17.9,1783.18,3,24.96731,121.51486
132,41.4,2013,Jan,34.8,405.2134,1,24.97349,121.53372
133,58.1,2013,Apr,6.3,90.45606,9,24.97433,121.5431
134,34.3,2013,May,13.2,1164.838,4,24.99156,121.53406
135,50.5,2013,Jun,35.7,579.2083,2,24.9824,121.54619
136,70.1,2013,Mar,0,292.9978,6,24.97744,121.54458
137,42.3,2013,Apr,16.9,368.1363,8,24.9675,121.54451
138,29.3,2013,Apr,4.5,2275.877,3,24.96314,121.51151
139,51.6,2013,Apr,10.5,279.1726,7,24.97528,121.54541
140,47.9,2013,Jan,10.1,279.1726,7,24.97528,121.54541
141,38.8,2013,Jan,39.6,480.6977,4,24.97353,121.53885
142,27,2013,Jan,29.3,1487.868,2,24.97542,121.51726
143,33.6,2013,Mar,10.4,276.449,5,24.95593,121.53913
144,47,2013,May,19.2,557.478,4,24.97419,121.53797
145,57.1,2013,Jan,7.1,451.2438,5,24.97563,121.54694
146,22.1,2013,May,25.9,4519.69,0,24.94826,121.49587
147,49.3,2013,Mar,16.5,323.655,6,24.97841,121.54281
148,27.3,2013,May,13.9,4079.418,0,25.01459,121.51816
149,25.3,2013,Feb,12,1360.139,1,24.95204,121.54842
150,46.2,2013,Feb,16.2,289.3248,5,24.98203,121.54348
151,15.9,2013,Jan,13.6,4082.015,0,24.94155,121.50381
152,18.2,2013,May,16.8,4066.587,0,24.94297,121.50342
153,34.7,2013,Apr,36.1,519.4617,5,24.96305,121.53758
154,53.9,2013,Jun,2.7,533.4762,4,24.97445,121.54765
155,38.3,2013,Jan,36.6,488.8193,8,24.97015,121.54494
156,42,2013,Apr,21.7,463.9623,9,24.9703,121.54458
157,61.5,2013,Jun,35.9,640.7391,3,24.97563,121.53715
158,13.4,2013,Apr,24.2,4605.749,0,24.94684,121.49578
159,44.2,2013,Apr,21.7,512.5487,4,24.974,121.53842
160,20.7,2013,Jan,31.3,1758.406,1,24.95402,121.55282
161,27,2013,Jun,32.1,1438.579,3,24.97419,121.5175
162,38.9,2013,Jan,13.3,492.2313,5,24.96515,121.53737
163,51.7,2013,Jan,16.1,289.3248,5,24.98203,121.54348
164,41.9,2013,Apr,33.6,371.2495,8,24.97254,121.54059
165,22.6,2013,May,30.3,4510.359,1,24.94925,121.49542
166,42.4,2013,Jan,13.3,336.0532,5,24.95776,121.53438
167,21.3,2013,Apr,11,1931.207,2,24.96365,121.51471
168,63.2,2013,May,5.3,259.6607,6,24.97585,121.54516
169,55,2013,Jun,2.6,533.4762,4,24.97445,121.54765
170,25.3,2013,Apr,17.5,995.7554,0,24.96305,121.54915
171,44.3,2013,Apr,40.1,123.7429,8,24.97635,121.54329
172,50.7,2013,Jan,1,193.5845,6,24.96571,121.54089
173,56.8,2013,May,8.5,104.8101,5,24.96674,121.54067
174,36.2,2013,Apr,30.4,464.223,6,24.97964,121.53805
175,59,2013,Jun,6.6,90.45606,9,24.97433,121.5431
176,40.8,2013,Jan,35.5,640.7391,3,24.97563,121.53715
177,36.3,2013,Jun,32.5,424.5442,8,24.97587,121.53913
178,20,2013,Feb,13.8,4082.015,0,24.94155,121.50381
179,29.5,2013,May,12.3,1360.139,1,24.95204,121.54842
180,36.8,2013,Jun,35.9,616.4004,3,24.97723,121.53767
181,26.5,2013,Jan,18,1414.837,1,24.95182,121.54887
182,40.3,2013,May,11.8,533.4762,4,24.97445,121.54765
183,36.8,2013,Jan,30.8,377.7956,6,24.96427,121.53964
184,48.1,2013,Jan,13.2,150.9347,7,24.96725,121.54252
185,43.7,2013,Jan,15.1,383.2805,7,24.96735,121.54464
186,18.3,2013,Jun,16.9,4066.587,0,24.94297,121.50342
187,25.3,2013,May,23,3947.945,0,24.94783,121.50243
188,43.2,2013,Mar,9.1,1402.016,0,24.98569,121.5276
189,59.5,2013,Apr,6.4,90.45606,9,24.97433,121.5431
190,34.6,2013,Jan,28.4,617.4424,3,24.97746,121.53299
191,51,2013,Apr,16.4,289.3248,5,24.98203,121.54348
192,62.2,2013,Apr,6.4,90.45606,9,24.97433,121.5431
193,38.2,2013,May,17.5,964.7496,4,24.98872,121.53411
194,54.4,2013,Jan,1.1,193.5845,6,24.96571,121.54089
195,47.1,2013,Jan,17.2,189.5181,8,24.97707,121.54308
196,26.6,2013,Apr,12.2,1360.139,1,24.95204,121.54842
197,34.1,2013,Apr,31.4,592.5006,2,24.9726,121.53561
198,28.4,2013,Jun,4,2147.376,3,24.96299,121.51284
199,51.6,2013,Jan,8.1,104.8101,5,24.96674,121.54067
200,39.4,2013,Jun,33.3,196.6172,7,24.97701,121.54224
201,23.1,2013,Apr,9.9,2102.427,3,24.96044,121.51462
202,7.6,2013,Apr,14.8,393.2606,6,24.96172,121.53812
203,46.4,2013,Jan,20.6,737.9161,2,24.98092,121.54739
204,12.2,2013,Jan,30.9,6396.283,1,24.94375,121.47883
205,13,2013,Jan,13.6,4197.349,0,24.93885,121.50383
206,30.6,2013,May,25.3,1583.722,3,24.96622,121.51709
207,59.6,2013,May,16.6,289.3248,5,24.98203,121.54348
208,31.3,2013,Feb,13.3,492.2313,5,24.96515,121.53737
209,48,2013,May,13.6,492.2313,5,24.96515,121.53737
210,32.5,2013,Mar,31.5,414.9476,4,24.98199,121.54464
211,45.5,2013,Apr,0,185.4296,0,24.9711,121.5317
212,48.6,2013,Feb,1.1,193.5845,6,24.96571,121.54089
213,62.9,2013,Jan,38.6,804.6897,4,24.97838,121.53477
214,55,2013,Mar,3.8,383.8624,5,24.98085,121.54391
215,60.7,2013,Jan,41.3,124.9912,6,24.96674,121.54039
216,41,2013,Apr,38.5,216.8329,7,24.98086,121.54162
217,37.5,2013,Mar,29.6,535.527,8,24.98092,121.53653
218,30.7,2013,May,4,2147.376,3,24.96299,121.51284
219,37.5,2013,Feb,26.6,482.7581,5,24.97433,121.53863
220,47.4,2013,May,13.6,319.0708,6,24.96495,121.54277
221,43.5,2013,Feb,10,942.4664,0,24.97843,121.52406
222,51.4,2013,Mar,16.2,289.3248,5,24.98203,121.54348
223,28.9,2013,Apr,5.1,1559.827,3,24.97213,121.51627
224,37.5,2013,Apr,19.8,640.6071,5,24.97017,121.54647
225,40.1,2013,May,13.6,492.2313,5,24.96515,121.53737
226,28.4,2013,Jan,11.9,1360.139,1,24.95204,121.54842
227,45.1,2013,May,16.4,3780.59,0,24.93293,121.51203
228,48.5,2013,Mar,35.8,170.7311,7,24.96719,121.54269
229,44.7,2013,May,4.9,387.7721,9,24.98118,121.53788
230,28.9,2013,Apr,12,1360.139,1,24.95204,121.54842
231,40.9,2013,Mar,6.5,376.1709,6,24.95418,121.53713
232,20.7,2013,May,16.9,4066.587,0,24.94297,121.50342
233,15.6,2013,Feb,13.8,4082.015,0,24.94155,121.50381
234,18.3,2013,Jun,30.7,1264.73,0,24.94883,121.52954
235,35.6,2013,Mar,16.1,815.9314,4,24.97886,121.53464
236,39.4,2013,Jan,11.6,390.5684,5,24.97937,121.54245
237,39.6,2013,Apr,19.2,616.4004,3,24.97723,121.53767
238,55.5,2013,May,8.5,104.8101,5,24.96674,121.54067
239,73.6,2013,Apr,0,292.9978,6,24.97744,121.54458
240,43.4,2013,Apr,28.2,330.0854,8,24.97408,121.54011
241,37.4,2013,Jan,27.6,515.1122,5,24.96299,121.5432
242,23.5,2013,Apr,8.4,1962.628,1,24.95468,121.55481
243,14.4,2013,Apr,24,4527.687,0,24.94741,121.49628
244,58.8,2013,Jan,3.6,383.8624,5,24.98085,121.54391
245,58.1,2013,Jun,6.6,90.45606,9,24.97433,121.5431
246,35.1,2013,Jan,41.3,401.8807,4,24.98326,121.5446
247,45.2,2013,Apr,4.3,432.0385,7,24.9805,121.53778
248,36.5,2013,Jan,30.2,472.1745,3,24.97005,121.53758
249,42,2013,Jan,33,181.0766,9,24.97697,121.54262
250,36.7,2013,May,13.1,1144.436,4,24.99176,121.53456
251,42.6,2013,Jan,14,438.8513,1,24.97493,121.5273
252,55.9,2013,Feb,11.6,201.8939,8,24.98489,121.54121
253,23.6,2013,May,13.5,2147.376,3,24.96299,121.51284
254,18.8,2013,May,17,4082.015,0,24.94155,121.50381
255,25.7,2013,Feb,20.9,2185.128,3,24.96322,121.51237
256,22,2013,Jan,8.9,3078.176,0,24.95464,121.56627
257,42.3,2013,May,35.3,616.5735,8,24.97945,121.53642
258,37.8,2013,Feb,13.2,750.0704,2,24.97371,121.54951
259,42.7,2013,Feb,43.8,57.58945,7,24.9675,121.54069
260,49.3,2013,Apr,9.7,421.479,5,24.98246,121.54477
261,29.3,2013,May,15.2,3771.895,0,24.93363,121.51158
262,34.6,2013,Apr,15.2,461.1016,5,24.95425,121.5399
263,36.6,2013,Jan,22.8,707.9067,2,24.981,121.54713
264,48.2,2013,Mar,34.4,126.7286,8,24.96881,121.54089
265,39.1,2013,Jan,34,157.6052,7,24.96628,121.54196
266,31.6,2013,Apr,18.2,451.6419,8,24.96945,121.5449
267,25.5,2013,Apr,17.4,995.7554,0,24.96305,121.54915
268,45.9,2013,Apr,13.1,561.9845,5,24.98746,121.54391
269,26.6,2013,Jan,18,1414.837,1,24.95182,121.54887
270,21.4,2013,Jan,12.8,1449.722,3,24.97289,121.51728
271,44,2013,Mar,22.2,379.5575,10,24.98343,121.53762
272,34.2,2013,Jan,38.5,665.0636,3,24.97503,121.53692
273,52.2,2013,May,5.2,390.5684,5,24.97937,121.54245
274,43.5,2013,Jan,0,274.0144,1,24.9748,121.53059
275,31.1,2013,Apr,17.6,1805.665,2,24.98672,121.52091
276,58,2013,Jan,6.2,90.45606,9,24.97433,121.5431
277,20.9,2013,Jun,18.1,1783.18,3,24.96731,121.51486
278,48.1,2013,Apr,19.2,383.7129,8,24.972,121.54477
279,39.7,2013,Mar,37.8,590.9292,1,24.97153,121.53559
280,43.8,2013,Apr,13.6,492.2313,5,24.96515,121.53737
281,78.3,2013,Apr,37.2,186.5101,9,24.97703,121.54265
282,38.5,2013,Apr,9,1402.016,0,24.98569,121.5276
283,48.5,2013,Jun,30.6,431.1114,10,24.98123,121.53743
284,42.3,2013,Mar,9.1,1402.016,0,24.98569,121.5276
285,46,2013,Apr,34.5,324.9419,6,24.97814,121.5417
286,49,2013,Mar,1.1,193.5845,6,24.96571,121.54089
287,12.8,2013,Jan,16.5,4082.015,0,24.94155,121.50381
288,46.6,2013,Apr,11.9,3171.329,0,25.00115,121.51776
289,19,2013,Jun,31,1156.412,0,24.9489,121.53095
290,33.4,2013,May,4,2147.376,3,24.96299,121.51284
291,32.4,2013,Apr,39.7,333.3679,9,24.98016,121.53932
292,23.9,2013,Mar,8,2216.612,4,24.96007,121.51361
293,61.9,2013,Feb,3.6,373.8389,10,24.98322,121.53765
294,39,2013,Feb,13,732.8528,0,24.97668,121.52518
295,40.6,2013,Jan,12.8,732.8528,0,24.97668,121.52518
296,29.7,2013,May,18.1,837.7233,0,24.96334,121.54767
297,28.8,2013,Jan,11,1712.632,2,24.96412,121.5167
298,41.4,2013,May,13.7,250.631,7,24.96606,121.54297
299,48.2,2013,Apr,32.8,204.1705,8,24.98236,121.53923
300,21.7,2013,Jan,4.8,1559.827,3,24.97213,121.51627
301,40.8,2013,Apr,7.5,639.6198,5,24.97258,121.54814
302,40.6,2013,Apr,16.4,389.8219,6,24.96412,121.54273
303,23.1,2013,Apr,21.7,1055.067,0,24.96211,121.54928
304,22.3,2013,Jan,19,1009.235,0,24.96357,121.54951
305,30,2013,Feb,39.2,424.7132,7,24.97429,121.53917
306,17.4,2013,Apr,31.5,5512.038,1,24.95095,121.48458
307,43.9,2013,Mar,17.3,444.1334,1,24.97501,121.5273
308,63.3,2013,Apr,0,292.9978,6,24.97744,121.54458
309,28.8,2013,Jan,17.7,837.7233,0,24.96334,121.54767
310,30.7,2013,Mar,17,1485.097,4,24.97073,121.517
311,24.4,2013,Feb,16.2,2288.011,3,24.95885,121.51359
312,31.7,2013,Apr,3.9,2147.376,3,24.96299,121.51284
313,40.6,2013,Feb,32.6,493.657,7,24.96968,121.54522
314,23.7,2013,Mar,17.8,1783.18,3,24.96731,121.51486
315,40.1,2013,Apr,17.2,390.5684,5,24.97937,121.54245
316,23,2013,Jan,17.6,837.7233,0,24.96334,121.54767
317,117.5,2013,Apr,10.8,252.5822,1,24.9746,121.53046
318,29.3,2013,Apr,13.2,170.1289,1,24.97371,121.52984
319,41,2013,Feb,27.5,394.0173,7,24.97305,121.53994
320,34,2013,Jan,19.1,461.1016,5,24.95425,121.5399
321,27.7,2013,Apr,21.2,2185.128,3,24.96322,121.51237
322,31.1,2013,Apr,2.6,1554.25,3,24.97026,121.51642
323,45.4,2013,Mar,2.3,184.3302,6,24.96581,121.54086
324,44.8,2013,Apr,4.7,387.7721,9,24.98118,121.53788
325,23.5,2013,Apr,33.5,1978.671,2,24.98674,121.51844
326,55.3,2013,Feb,30.1,718.2937,3,24.97509,121.53644
327,32.9,2013,Jan,19.2,461.1016,5,24.95425,121.5399
328,51,2013,Jun,16.6,323.6912,6,24.97841,121.5428
329,44.5,2013,Apr,13.9,289.3248,5,24.98203,121.54348
330,37,2013,Jan,37.7,490.3446,0,24.97217,121.53471
331,24.5,2013,Jan,17.5,395.6747,5,24.95674,121.534
332,38.1,2013,May,26.4,335.5273,6,24.9796,121.5414
333,21.8,2013,Feb,18.2,2179.59,3,24.96299,121.51252
334,16.7,2013,Apr,16.7,4082.015,0,24.94155,121.50381
335,46.1,2013,Feb,33.2,121.7262,10,24.98178,121.54059
336,36.9,2013,Jan,2.5,156.2442,4,24.96696,121.53992
337,23.2,2013,May,16.5,2288.011,3,24.95885,121.51359
338,38.4,2013,May,38.3,439.7105,0,24.97161,121.53423
339,29.4,2013,Apr,20,1626.083,3,24.96622,121.51668
340,55,2013,Jan,16.2,289.3248,5,24.98203,121.54348
341,50.2,2013,May,14.4,169.9803,1,24.97369,121.52979
342,53,2013,Apr,16.4,289.3248,5,24.98203,121.54348
343,19.1,2013,Mar,30.3,1264.73,0,24.94883,121.52954
344,24.7,2013,Jun,16.4,1643.499,2,24.95394,121.55174
345,42.2,2013,Feb,21.3,537.7971,4,24.97425,121.53814
346,78,2013,Jun,35.4,318.5292,9,24.97071,121.54069
347,42.8,2013,Apr,8.3,104.8101,5,24.96674,121.54067
348,41.6,2013,Mar,3.7,577.9615,6,24.97201,121.54722
349,27.3,2013,Jan,15.6,1756.411,2,24.9832,121.51812
350,42,2013,Mar,13.3,250.631,7,24.96606,121.54297
351,49.8,2013,Apr,7.1,379.5575,10,24.98343,121.53762
352,26.9,2013,Mar,34.6,272.6783,5,24.95562,121.53872
353,33.1,2013,Jan,12.9,187.4823,1,24.97388,121.52981
354,42.5,2013,Apr,28.6,197.1338,6,24.97631,121.54436
355,38.1,2013,Jan,36.6,488.8193,8,24.97015,121.54494
356,62.1,2013,May,4.1,56.47425,7,24.95744,121.53711
357,36.7,2013,Apr,3.5,757.3377,3,24.97538,121.54971
358,19.2,2013,Jan,13.6,4197.349,0,24.93885,121.50383
359,12.8,2013,Jan,32,1156.777,0,24.94935,121.53046
360,15.6,2013,Apr,25.6,4519.69,0,24.94826,121.49587
361,39.6,2013,Feb,39.8,617.7134,2,24.97577,121.53475
362,36.5,2013,Jun,27.3,337.6016,6,24.96431,121.54063
363,50.4,2013,Apr,1.7,329.9747,5,24.98254,121.54395
364,42.9,2013,Apr,33.6,270.8895,0,24.97281,121.53265
365,37,2013,Jan,13,750.0704,2,24.97371,121.54951
366,46.6,2013,Jan,33.5,563.2854,8,24.98223,121.53597
367,41.2,2013,May,34.6,3085.17,0,24.998,121.5155
368,30.8,2013,Apr,13.2,1712.632,2,24.96412,121.5167
369,11.2,2013,Jun,17.4,6488.021,1,24.95719,121.47353
370,42.3,2013,Jan,13.2,492.2313,5,24.96515,121.53737
371,31.3,2013,May,4.1,2147.376,3,24.96299,121.51284
372,30.1,2013,Apr,12.2,1360.139,1,24.95204,121.54842
373,60.7,2013,Mar,3.8,383.8624,5,24.98085,121.54391
374,44.9,2013,Apr,0,338.9679,9,24.96853,121.54413
375,45.1,2013,Feb,1.1,193.5845,6,24.96571,121.54089
376,24.7,2013,May,5.6,2408.993,0,24.95505,121.55964
377,63.3,2013,Jan,41.4,281.205,8,24.97345,121.54093
378,40,2013,Apr,17.1,967.4,4,24.98872,121.53408
379,48,2013,May,32.3,109.9455,10,24.98182,121.54086
380,33.1,2013,Apr,35.3,614.1394,7,24.97913,121.53666
381,43.1,2013,Apr,18.2,350.8515,1,24.97544,121.53119
382,51.7,2013,May,4.1,312.8963,5,24.95591,121.53956
383,41.5,2013,Jan,33.9,157.6052,7,24.96628,121.54196
384,52.2,2013,Jan,0,274.0144,1,24.9748,121.53059
385,49.5,2013,Mar,5.4,390.5684,5,24.97937,121.54245
386,23.8,2013,Mar,21.7,1157.988,0,24.96165,121.55011
387,30.5,2013,Apr,14.7,1717.193,2,24.96447,121.51649
388,56.8,2013,Apr,3.9,49.66105,8,24.95836,121.53756
389,37.4,2013,Apr,37.3,587.8877,8,24.97077,121.54634
390,69.7,2013,Apr,0,292.9978,6,24.97744,121.54458
391,53.3,2013,Apr,14.1,289.3248,5,24.98203,121.54348
392,47.3,2013,Apr,8,132.5469,9,24.98298,121.53981
393,29.3,2013,Jan,16.3,3529.564,0,24.93207,121.51597
394,46.6,2013,Jan,18.3,82.88643,10,24.983,121.54026
395,25.6,2013,Mar,16.2,2103.555,3,24.96042,121.51462
396,27.3,2013,May,10.4,2251.938,4,24.95957,121.51353
397,67.7,2013,Mar,40.9,122.3619,8,24.96756,121.5423
398,38.6,2013,May,32.8,377.8302,9,24.97151,121.5435
399,31.3,2013,Jun,6.2,1939.749,1,24.95155,121.55387
400,35.3,2013,Jan,42.7,443.802,6,24.97927,121.53874
401,40.3,2013,Jan,16.9,967.4,4,24.98872,121.53408
402,24.7,2013,May,32.6,4136.271,1,24.95544,121.4963
403,32.2,2013,Apr,13.1,1164.838,4,24.99156,121.53406
404,23,2013,Apr,14.7,1717.193,2,24.96447,121.51649
405,35.5,2013,Mar,26.8,482.7581,5,24.97433,121.53863
406,27.7,2013,Jan,7.6,2175.03,3,24.96305,121.51254
407,41.2,2013,Apr,16.4,289.3248,5,24.98203,121.54348
408,40.5,2013,Feb,1.9,372.1386,7,24.97293,121.54026
409,22.3,2013,Jan,5.2,2408.993,0,24.95505,121.55964
410,28.1,2013,Apr,18.5,2175.744,3,24.9633,121.51243
411,15.4,2013,Jan,13.7,4082.015,0,24.94155,121.50381
412,40.6,2013,Mar,18.8,390.9696,7,24.97923,121.53986
413,52.5,2013,Jan,8.1,104.8101,5,24.96674,121.54067
414,63.9,2013,May,6.5,90.45606,9,24.97433,121.5431
